rank;State;Pop
1;California;39613493
2;Texas;29730311
3;Florida;21944577
4;New York;19299981
5;Pennsylvania;12804123
6;Illinois;12569321
7;Ohio;11714618
8;Georgia;10830007
9;North Carolina;10701022
10;Michigan;9992427
11;New Jersey;8874520
12;Virginia;8603985
13;Washington;7796941
14;Arizona;7520103
15;Tennessee;6944260
16;Massachusetts;6912239
17;Indiana;6805663
18;Missouri;6169038
19;Maryland;6065436
20;Colorado;5893634
21;Wisconsin;5852490
22;Minnesota;5706398
23;South Carolina;5277830
24;Alabama;4934193
25;Louisiana;4627002
26;Kentucky;4480713
27;Oregon;4289439
28;Oklahoma;3990443
29;Connecticut;3552821
30;Utah;3310774
31;Puerto Rico;3194374
32;Nevada;3185786
33;Iowa;3167974
34;Arkansas;3033946
35;Mississippi;2966407
36;Kansas;2917224
37;New Mexico;2105005
38;Nebraska;1951996
39;Idaho;1860123
40;West Virginia;1767859
41;Hawaii;1406430
42;New Hampshire;1372203
43;Maine;1354522
44;Montana;1085004
45;Rhode Island;1061509
46;Delaware;990334
47;South Dakota;896581
48;North Dakota;770026
49;Alaska;724357
50;District of Columbia;714153
51;Vermont;623251
52;Wyoming;581075